iter	Passed	Remaining
420	1963	2700
421	1965	2692
422	1967	2684
423	1969	2675
424	1971	2667
425	1974	2660
426	1976	2652
427	1979	2645
428	1981	2637
429	1983	2629
430	1985	2621
431	1988	2614
432	1990	2606
433	1992	2598
434	1994	2590
435	1995	2581
436	1997	2573
437	1999	2565
438	2003	2559
439	2005	2552
440	2006	2543
441	2008	2536
442	2010	2528
443	2012	2520
444	2014	2513
445	2017	2506
446	2019	2498
447	2021	2490
448	2023	2482
449	2024	2474
450	2026	2466
451	2028	2458
452	2029	2450
453	2032	2444
454	2034	2436
455	2036	2428
456	2037	2421
457	2039	2413
458	2041	2405
459	2042	2398
460	2044	2390
461	2046	2382
462	2051	2379
463	2052	2371
464	2054	2363
465	2056	2356
466	2057	2348
467	2059	2341
468	2061	2333
469	2063	2327
470	2065	2320
471	2067	2312
472	2068	2305
473	2070	2297
474	2072	2290
475	2074	2283
476	2075	2276
477	2079	2270
478	2080	2263
479	2082	2256
480	2084	2249
481	2086	2242
482	2087	2234
483	2089	2227
484	2090	2220
485	2094	2214
486	2095	2207
487	2097	2200
488	2098	2193
489	2100	2186
490	2102	2179
491	2103	2172
492	2105	2165
493	2107	2158
494	2109	2152
495	2111	2145
496	2113	2138
497	2114	2131
498	2117	2125
499	2118	2118
500	2120	2112
501	2123	2106
502	2125	2099
503	2126	2093
504	2128	2086
505	2130	2079
506	2132	2073
507	2133	2066
508	2135	2059
509	2136	2052
510	2140	2048
511	2141	2041
512	2143	2035
513	2145	2028
514	2148	2023
515	2150	2017
516	2152	2010
517	2156	2006
518	2158	2000
519	2160	1994
520	2162	1987
521	2165	1982
522	2167	1976
523	2171	1972
524	2173	1966
525	2175	1960
526	2177	1954
527	2179	1948
528	2181	1941
529	2185	1938
530	2187	1932
531	2189	1925
532	2191	1919
533	2192	1913
534	2194	1907
535	2197	1902
536	2203	1899
537	2205	1894
538	2209	1889
539	2212	1884
540	2219	1883
541	2222	1878
542	2224	1872
543	2226	1866
544	2228	1860
545	2232	1856
546	2236	1851
547	2239	1846
548	2241	1841
549	2244	1836
550	2247	1831
551	2255	1830
552	2258	1825
553	2263	1822
554	2266	1817
555	2268	1811
556	2270	1806
557	2273	1800
558	2276	1796
559	2279	1791
560	2283	1787
561	2286	1782
562	2288	1776
563	2290	1770
564	2293	1765
565	2295	1760
566	2297	1754
567	2299	1748
568	2301	1743
569	2303	1737
570	2305	1731
571	2308	1726
572	2312	1722
